                    Time	isStop	isStem	   Overall	          	 Attempted	          	                     Test	Approach                 
Sat Dec 10 18:39:29 2016	 False	  True	  0.550000	(1375/2500)	  0.550000	(1375/2500)	     cbtest_P_test_2500ex	All Approaches           

Sat Dec 10 18:49:00 2016	  True	 False	  0.249200	 (623/783)	  0.795658	 (623/783)	    cbtest_NE_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:49:00 2016	  True	 False	  0.247600	(619/1945)	  0.318252	(619/1945)	    cbtest_NE_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:49:00 2016	  True	 False	  0.390000	(975/2062)	  0.472842	(975/2062)	    cbtest_NE_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:49:00 2016	  True	 False	  0.142800	(357/2300)	  0.155217	(357/2300)	    cbtest_NE_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:49:00 2016	  True	 False	  0.024800	  (62/985)	  0.062944	  (62/985)	    cbtest_NE_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:49:01 2016	  True	 False	  0.137200	(343/2303)	  0.148936	(343/2303)	    cbtest_NE_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:49:01 2016	  True	 False	  0.070400	 (176/853)	  0.206331	 (176/853)	    cbtest_NE_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:49:01 2016	  True	 False	  0.012000	  (30/112)	  0.267857	  (30/112)	    cbtest_NE_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:49:01 2016	  True	 False	  0.076800	 (192/854)	  0.224824	 (192/854)	    cbtest_NE_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:49:01 2016	  True	 False	  0.139200	(348/2496)	  0.139423	(348/2496)	    cbtest_NE_test_2500ex	TrigramWP MA             
Sat Dec 10 18:49:01 2016	  True	 False	  0.136400	(341/2500)	  0.136400	(341/2500)	    cbtest_NE_test_2500ex	TrigramWP MM             
Sat Dec 10 18:49:01 2016	  True	 False	  0.138000	(345/2500)	  0.138000	(345/2500)	    cbtest_NE_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:49:01 2016	  True	 False	  0.106400	(266/2500)	  0.106400	(266/2500)	    cbtest_NE_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:49:01 2016	  True	 False	  0.042000	(105/2440)	  0.043033	(105/2440)	    cbtest_NE_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:49:01 2016	  True	 False	  0.094000	(235/2500)	  0.094000	(235/2500)	    cbtest_NE_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:49:01 2016	  True	 False	  0.133600	(334/2421)	  0.137960	(334/2421)	    cbtest_NE_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:49:01 2016	  True	 False	  0.044400	(111/1512)	  0.073413	(111/1512)	    cbtest_NE_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:49:01 2016	  True	 False	  0.140400	(351/2421)	  0.144981	(351/2421)	    cbtest_NE_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:49:01 2016	  True	 False	  0.298800	(747/2500)	  0.298800	(747/2500)	    cbtest_NE_test_2500ex	All Approaches           

Sat Dec 10 18:49:01 2016	  True	 False	  0.072400	 (181/500)	  0.362000	 (181/500)	     cbtest_V_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:49:02 2016	  True	 False	  0.190800	(477/1938)	  0.246130	(477/1938)	     cbtest_V_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:49:02 2016	  True	 False	  0.207600	(519/2001)	  0.259370	(519/2001)	     cbtest_V_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:49:02 2016	  True	 False	  0.059200	(148/2022)	  0.073195	(148/2022)	     cbtest_V_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:49:02 2016	  True	 False	  0.058800	(147/1336)	  0.110030	(147/1336)	     cbtest_V_test_2500ex	TrigramWP 20 PW          
